page,chars_extracted,words_extracted,preview
67,3027,462,"66 raw food items by Charitable/Religious Institutions for distributing free food to public shall be  reimbursed as Financial Assistance by the Government of India.   Salient features :   Type of Activities Supported Under the Scheme:   Free „prasad‟ or free food or free „langar‟ / „bhandara‟ (community kitchen) offered by  charitable/religious institutions like Gurudwara, Temples, Dharmik Ashram, Mosques, Dargah,  Church, Math, Monasteries etc. Financial Assistance will be provided on First -cu..."
68,492,56,67 least 5000 people in a calendar month. vii) The Institution/Organization blacklisted under the  provisions of Foreign Contribution Regulation Act (FCRA) or under the provisions of any  Act/Rules of the Central/State Government shall not be eligible for Financial Assistance under  the Scheme.   Area of Operation: All States and Union Territories   For detail Information visit:  http://www.indiaculture.nic.in/sites/default/files/Schemes/RevisedGuidelinesforSevaBhojYojn  a_31.08.2018.pdf
69,1872,284,"68 Ministry for Development of North Eastern Region   6.1 Name of Scheme: North East Special Infrastructure Development Schemes (NESIDS)   The new Central scheme of North East Special Infrastructure Development Schemes (NESIDS),  fully funded by the Government of India, is taken up to fill up gaps of infrastructure in certain  identified sectors of the Region. The NESIDS will accord focus on exploitation of the huge  tourism potential of the area by way of strengthening related infrastructure an..."
70,2682,390,"69 North Eastern Council     6.2.1. Name of Scheme: Schemes of the North Eastern Council   The “Schemes of the NEC” is a Central Sector Scheme on 100% funding by Government of  India and supports projects in selective and focussed sectors of the eight NE states as below:  i. Bamboo sector: In order to realise the potential of turning bamboo into green gold in  the NER, NEC would support multi -sectoral interventions covering the entire value  chain including support to regional centres of excell..."
71,1996,270,"70 with focus on appropriate technological interventions for farm, nonfarm and other  sectors across NER; Early Warning System (EWS) for disaster mitigation including  use of space technology.  vii. Surveys & Investigations: Support for undertaking surveys and investigation and  preparation of DPR for various infrastructure projects including hydro -electric power,  flood management, irrigation, soil erosion etc.  viii. Promotion of the North Eastern Region: Setting up of Centres for awareness  ..."
72,1576,230,"71 iv. Specialised media campaigns on themes concerning NER like organic farming,  cleanliness (Swachata), bamboo etc.   v. Web Presence and Media. presence of the NEC and potential of NER  including social media   vi. Evaluations/ Impact Studies/assessments related to development/ promotion of  NE Region.   3. Eligibility norms   i. Ministries of GoI   ii. PSUs of MDoNER   iii. Central universities and colleges there -under (as listed in MoHRD)   iv. NE State universities / deemed universities ..."
73,2158,318,"72 ii) Economic Adviser (E&M) Member  iii) Representative of Financial Adviser Member  iv) All Sectoral Heads in the NEC Members  v) Director (IPR) NEC Member Secretary     Representative(s) of the organizations that seek financial assistance or are concerned with the  subject may be invited to these meetings.   5.2 The Committee shall decide the quantum of financial assistance, timing and duration of the  programme and other parameters concerning the proposal and recommend accordingly for  sanc..."
74,1523,215,"73 5.4 Release of Advertisements/ Campaigns etc.   i. Release of advertisements in print/electronic media and other media related issues  would be governed by the provisions of the extant rules, issued by Directorate of  Advocacy and Visual Publicity, Ministry of Information & Broadcasting, Government  of India and in no case should be contravened.   ii. An outcome report specifying the targets of the project / programme and achievements  in financial and physical prospective should be submitted..."
75,2861,420,74 6.2.3. Name of Scheme: North East Road Sector Development Scheme (NERSDS)  Type of scheme : Central Sector Scheme  Objectives:   The objective of the North East Road sector Development Scheme (NERSDS) is to take up  rehabilitation/construction/upgradation of the following category of roads (including bridges on  the roads) in the North Eastern Region (NER) in order of priority: (i) Inter -state roads previously  built by the North Eastern Council (NEC) and other agencies which are of vital co...
76,2401,367,"75 Release of funds   The Ministry of DoNER will release funds through authorization to the concerned Central  Ministry/Department to which the implementing agency is affiliated. The empowered Inter -  Ministerial Committee may recommend the quantum and manner in which the initial financial  release may be made for the recommended project/work. Once the pre -construction activities are  completed and the Committee decided the physical and financial milestones, subsequent release  of funds will b..."
77,2091,353,"76 income. There will not be any reservation/quota on the basis of category/religion/gender. In case  the allotted quota as mentioned in the table below remains unfilled for want of eligible  candidates, the same may be distributed to remaining eligible students from other NE States, as  per their inter se merit list. The scholarships will be disbursed to selected students by NEC  directly in their provided and verified bank accounts using DBT mode as per the extant  guidelines.   Other Conditio..."
78,2448,336,"77 continue to receive their scholarships as per the prevailing procedure till end of their scholarships  tenure. Once selected, the scholarship shall be available to a selected student for the prescribed  duration of a course subject to fulfillment of renewal conditions, as specified under Para 6 of  these rules. Extension of scholarship beyond the prescribed period of study will not be  entertained. At the time of availing the scholarship, the student must not be in receipt of any  other schol..."
79,1938,289,"78 Ministry of Jal Shakti     7.1 Name of Scheme: Nirmal Gram Puraskar   Government of India (GOI) has been promoting sanitation coverage in a campaign mode to  ensure better health and quality of life for people in rural India. To add vigour to its  implementation, GOI launched an award based Incentive Scheme for fully sanitized and open  defecation free Gram Panchayats, Blocks, Districts and States called ""Nirmal Gram Puraskar""  (NGP) in October 2003 and gave away the first awards in 2005 as a..."
80,1668,276,"79 • Coverage of Anganwadi Sanitation   • Access to adequate water as per National Rural Drinking Water Program (NRDWP)  Guidelines   • Activities under Information, Education and Communication.   • Activities under Solid Waste Management   • Activities under Liquid Waste Management   Structure of Scheme:   Nirmal Gram Puraskar till 2011 was given by Ministry of Drinking Water and Sanitation  (MoDWS), Government of India at all levels of PRls that is Gram Panchayat, Block Panchayat  and district..."
81,1871,268,80 Eligibility: A Gram Panchayat will be eligible to apply for the NGP on the following grounds:   Gram Panchayat has adopted a resolution to ban open defecation within its entire area inclusive  of all habitations and villages. All habitations within the Gram Panchayat jurisdiction have  access to water for drinking and sanitation purposes. The Gram Panchayat has achieved  objectives for all components as approved in the District Project and entered it in the IMIS of the  Ministry of Drinking W...
82,1562,235,"81 To create significant positive impact on gender and promote social inclusion by improving  sanitation especially in marginalized communities   Salient features:   The main activities covered under Swachh Bharat Mission are:   • Construction of Individual Household Latrines (IHHL)  • Construction of Community Sanitary Complexes (CSCs).  • Solid Liquid Waste Management (SLWM) activities.  • Information, Education and Communication (IEC) and Human Resource Development  (HRD) activities.   Fundin..."
83,1882,245,"82 Eligibility: Area of Operation: All States and Union Territories   For detail Information visit:  http://swachhbharatmission.gov.in/sbmcms/writereaddata/images/pdf/Guidelines/Complete -set-  guidelines.pdf      7.3 Name of Scheme: Swajal   Ministry of Drinking Water and Sanitation has launched „Swajal‟, a simple and flexible drinking  water supply scheme, targeting unreached habitations from 117 aspirational districts. In  aspirational districts the piped water supply coverage is 25% which is..."
84,2663,398,"83 Funding Pattern: The Centre, State and Gram Panchayat sharing of funding pattern for North  Eastern States and Himalayan States is 81:09:10 and Other States is45:45:10.   Eligibility: Area of Operation: All States and Union Territories   For detail Information visit: https://jalshakti -ddws.gov.in/sites/default/files/Swajal_guidelines.pdf      7.4 Name of Scheme: Jal Jeevan Mission (JJM)   The Central Government assistance to States for rural water supply began in 1972 with the  launch of Acc..."
85,1498,216,84 significance of safe drinking water and involvement of stakeholders in manner that make water  everyone's business.   Salient features:   The following kinds of works/ schemes are proposed to be taken up under JJM: i.) In -village  water supply (PWS) infrastructure for tap water connection to every household; ii.) Reliable  drinking water source development/ augmentation of existing sources; iii.) Transfer of water  (multi -village scheme; where quantity & quality issues are there in the loca...
86,2845,392,"85 Ministry of Environment, Forest and Climate Change     8.1 Name of Scheme: National Afforestation Programme   The National Afforestation Programme (NAP) scheme has been formulated by merger of four 9th  Plan centrally sponsored afforestation schemes of the Ministry of Environment & Forests,  namely, Integrated Afforestation and Eco-Development Projects Scheme (IAEPS), Area  Oriented Fuel wood and Fodder Projects Scheme (AOFFPS), Conservation and Development of  Non-Timber Forest Produce inclu..."
87,2765,433,"86 Long -term objectives: Protection, Conservation of natural resources through active involvement  of the people. - Checking land degradation, deforestation and loss of biodiversity. - Ecological  restoration and environmental conservation and eco-development, - Evolving village level  people‟s organisation which can manage the natural resources in and around villages in a  sustainable manner, - Fulfilment of the broader objectives of productivity, equity, and  sustainability for the general go..."
88,415,53,"87 The project area should be confined to recorded forests and adjoining land areas including  village common lands, community lands, revenue wastelands, Jhum lands and private lands.  Appropriate agro -forestry models may be promoted on such Jhum and private lands.   Area of Operation: All States and Union Territories   For detail Information visit:  http://www.naeb.nic.in/NAP_revised%20Guidelines%20English.pdf"
89,1799,294,"88 Ministry of Finance  9.1 Name of Scheme: National Pension System (NPS)  Type of scheme: Central Sector Scheme  Year of Commencement: 2004   Objectives of the scheme:   The National Pension System (NPS) was launched on 1st January, 2004 with the objective of  providing retirement income to all the citizens. NPS aims to institute pension reforms and to  inculcate the habit of saving for retirement amongst the citizens.   Initially, NPS was introduced for the new government recruits (except arme..."
90,1656,254,"89 • Exclusive Tax Benefit: As announced by Govt of India in Budget 2015 -16, subscriber  will be allowed tax deduction in addition to the deduction allowed under Sec. 80CCD(1)  for additional contribution in his NPS account subject to maximum of Rs. 50,000/ - under  sec. 80CCD 1(B).   Structure of Scheme:   Central Government Employees   NPS is applicable to all new employees of Central Government service (except Armed Forces)  and Central Autonomous Bodies joining Government service on or afte..."
91,2620,396,"90 9.2 Name of Scheme: Pradhan Mantri Jan Dhan Yojana (PMJDY)   Financial Inclusion is an important priority of the Government. The objective of Financial  Inclusion is to extend financial services to the large hitherto un -served population of the country  to unlock its growth potential. The Government initiated the National Mission for Financial  Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) in August, 2014 to  provide universal banking services for every unbanked household,..."
92,2239,355,"91 Creation of Credit Guarantee Fund: Creation of a Credit Guarantee Fund would be to cover the  defaults in overdraft accounts.   Micro - Insurance: To provide micro - insurance to all willing and eligible persons by 14th  August, 2018, and then on an ongoing basis. f. Unorganized sector Pension schemes like  Swavalamban: By 14th August, 2018 and then on an ongoing basis.  Financial Inclusion Plan:   Comprehensive Financial Inclusion of the excluded sections is proposed to be achieved by 14th  ..."
93,2318,388,92 who give their consent to join and enable auto-debit. The risk cover on the lives of the enrolled  persons has commenced from 1st June 2015.   Type of scheme : Central Sector Scheme  Year of Commencement: 2015  Objectives:  The aim of the plan is to give financial security for the poor and underprivileged on the loss of a  family member especially the breadwinner. The life cover starts from 1st June of every year until  31st May of the next year and can be renewed year after year.  Salient fe...
94,1881,316,93 9.4 Name of Scheme: Pradhan Mantri Suraksha BimaYojana (PMSBY)   The Scheme is available to people in the age group 18 to 70 years with a bank account who give  their consent to join / enable auto -debit on or before 31st May for the coverage period 1st June to  31st May on an annual renewal basis. Aadhar would be the primary KYC for the bank account.  The risk coverage under the scheme isRs.2 lakh for accidental death and full disability and Rs. 1  lakh for partial disability. The premium of...
95,2464,411,"94 9.5 Name of Scheme: Atal Pension Yojana (APY)   The Government of India is extremely concerned about the old age income security of the  working poor and is focused on encouraging and enabling them to join the National Pension  System (NPS). To address the longevity risks among the workers in unorganised sector and to  encourage the workers in unorganised sector to voluntarily save for their retirement, who  constitute 88% of the total labour force of 47.29 crore as per the 66th Round of NSSO..."
96,2025,325,95 • Rs. 5 per month for contribution between Rs 501/ - to 1000/ - per month.   • Rs. 10 per month for contribution beyond Rs 1001/ - per month.   The fixed amount of interest/penalty will remain as part of the pension corpus of the subscriber.  Discontinuation of payments of contribution amount shall lead to following:  • After 6 months account will be frozen.   • After 12 months account will be deactivated.   • After 24 months account will be closed.   Funding Pattern:   Government would provi...
97,2209,330,"96 Ministry of Food Processing Industries     10.1 Name of Scheme: Mega Food Park  Type of scheme: Central Sector Scheme  Year of Commencement: 2008   Objectives of the scheme:   The primary objective of the MFPS is to provide modern infrastructure facilities for the food  processing along the value chain from the farm to the market. It will include creation of  processing infrastructure near the farm, transportation, logistics and centralized processing  centres. The main feature of the Scheme ..."
98,2696,408,"97 turnover of about Rs. 450 -500 crore and creation of direct / indirect employment of about  5000 persons. Each MFP on being fully operational will also benefit about 25000 farmers.  However, the actual configuration of the project may vary depending upon the business  plan for each Mega Food Park. The aggregate investment in CPC, PPCs and CCs should be  proportionate and commensurate to the size of the total project keeping in view the economies  of scale.   The spirit of the guidelines of th..."
99,2364,354,"98 warehouses, specialized cold stores including pre-cooling chambers, ripening chambers  (including equipment), reefer vans, mobile pre-coolers, mobile collection vans etc.   The above mentioned facilities are only illustrative and the exact nature of facilities may  vary from project to project based on specific requirements as appraised by the concerned  bank. However, it is desirable to allocate at least 25 percent of the eligible project cost  towards creation of above mentioned core proces..."
100,1603,230,"99 lease of at least 75 years. The registered value of such land would be taken as part of the  project cost and contribution/share of the SPV. The GoI grant shall not be used for  procurement/purchase of land. The land and/or infrastructure taken on lease for PPCs / CCs, the  lease period should be at least 25 years.   Time Schedule:   The time schedule for completion and operationalisation of project will be 30 months as  detailed below from the date of issue of final approval letter unless ex..."
101,2446,371,"100 modern techniques of production and packaging, development of market and  popularisation of products. The Ministry also provides assistance for organizing  workshops, seminars, exhibitions/fairs. Studies/ surveys/feasibility reports are essential  to monitor/review/assess and revise various schemes/plans/vision for Ministry as well as  allied sectors. Assistance is also provided for organizing study tours for exposure to  various aspects of Food Processing.   Structure of Scheme:   (i) Semin..."
102,2569,407,"101 When Ministry sponsors / co -sponsors any of the above event organized by Central / State  Government and their institutions like APEDA, CFTRI, ITPO and Apex Industry Bodies /  Associations / Chambers, Ministry will extend 100 % financial assistance of the actual event cost  or maximum of Rs. 10 lakhs per event, whichever is less;   Ministry may extend financial support to Central / State Government and their Institutions for  organizing any of the event(s), subject to participation of Minis..."
103,2769,428,"102 Ministry may participate in such events by seeking nominations from the Apex Industry Bodies /  Associations / Chambers, of entrepreneurs belonging to SC / ST / NER category and women  entrepreneurs, who would be interested in participating in such events and display their products.  The stall space in such events would be hired on behalf of the nominated entrepreneurs by the  Apex Industry Bodies / Associations / Chambers and reimbursed by MoFPI.   Promotion of food processing sector in eve..."
104,2583,407,"103 “Food India” is a State event organized by the State Government in association with one of the  Apex Industry Body / Association / Chamber;   It is a quarterly event, subject to a gap of 2 years between the events, if organized in the same  State; and   Pattern of assistance - Ministry will provide financial assistance of 50% of the actual event cost  or maximum of Rs. 50 lakh per event, whichever is less.  Provided that Ministry of Food Processing Industries may meet the entire expenditure ..."
105,1876,254,"104 Ministry‟s logo, the same shall be resolved only by applicant organization using their means and  resources.   Ministry will extend logo support without any condition to:- 1. An event organized by all  establishments / offices and Institutions under Ministry; 2. Financial support extended by  Ministry for an event; 3. An event organized by Central / State Government and their Institutions  directly or jointly with Apex Industry Bodies / Associations / Chambers if such event is related  to fo..."
106,1735,244,"105 The objective of the scheme is to provide integrated cold chain, preservation and value addition  infrastructure facilities without any break, from the farm gate to the consumer in order to  reduce post -harvest losses of horticulture and non -horticulture agri -produce. This will enable  linking groups of producers to processors and market through a well equipped supply chain  and cold chain, thereby ensuring remunerative prices to farmers and year -round availability  of food products to c..."
107,1936,276,"106 xi. Food Irradiation unit   xii. Refrigerated/ Insulated transport   xiii. Pre Cooling Unit(s)   xiv. Mobile pre-coolers   xv. Retail refrigerated carts, temperature controlled solar powered retail carts (maximum 10  numbers to be assisted per project)  xvi. Reefer boats (maximum 10 numbers to be assisted per project)   xvii. Refrigerated Containers including multi -modal container units   xviii. Renewable/ alternate energy technologies (solar, bio-mass, wind etc.) for the project.   xix. Ac..."
108,1764,246,"107 (ii) The grant will be provided only in respect of technical civil works and eligible plant &  machinery.   (iii) Cost norms of Mission for Integrated Development of Horticulture (MIDH) issued by  Department of Agriculture, Co-operation and Farmers Welfare will be followed wherever  available.   Eligibility:   Integrated cold chain and value addition infrastructure projects can be set up by  Partnership/Proprietorship Firms, Companies, Corporations, Cooperatives, Self Help Groups  (SHGs), Fa..."
109,1739,266,108 The following schemes will be implemented under SAMPADA:   (i). Mega Food Parks (on going)   (ii). Integrated Cold Chain and Value Addition Infrastructure (on going)   (iii). Creation I Expansion of Food Processing & Preservation Capacities (new)  (iv). Infrastructure for Agro -processing Clusters (new)  (v). Creation of Backward and Forward Linkages (new)   (vi). Food Safety and Quality Assurance Infrastructure (on going)  (vii). Human Resources and Institutions (on going)  1. Scheme for Me...
110,2257,335,"109 conversion for industrial /infrastructure use is required. Subject to fulfilment of the conditions of  Scheme Guidelines, the funds are released to the SPVs.   2. Scheme for Cold Chain and Value Addition Infrastructure   (a) Objective of the Scheme:   To arrest post -harvest losses of horticulture & non -horticulture produce by providing financial  assistance in setting up integrated cold chain, preservation and value addition infrastructure  facilities without any break from the farm gate t..."
111,1966,296,"110 depending on the processing sectors which results in value addition and/or enhancing shelf life of  the processed products.   b) Pattern of financial assistance:   The scheme envisages financial assistance to food processing units in the form of grant -in-aid:   • 35% of the cost of Plant & machinery and technical civil works, subject to a maximum of Rs.  5.00 crore in general areas.   • 50% of the cost of Plant & machinery and technical civil works, subject to a maximum of Rs.  5.00 crore i..."
112,2353,355,111 (iv) Such infrastructure facilities may be developed by:   a. The promoter(s) willing to set up own units in the cluster and also allow utilization of common  infrastructure to other units in the area;   b. The promoter(s) willing to develop common infrastructure for use by the units to be set up in  the food processing cluster by other entrepreneurs;   c. The promoter(s) willing to develop common infrastructure in the existing food processing  clusters:   (c) Components of the Scheme:   The...
113,1966,291,"112 5. Scheme for Creation of Backward and Forward Linkages   (a) Objectives:   (i) To create an effective backward & forward linkages for perishable agri -horti produce through  setting up of primary processing centres / collection centres at farm gate, distribution hub  and retail outlets at the front end.   (ii) To provide preservation facilities for enhancing shelf life of perishable agricultural  produce resulting in better remunerative prices to farmers.   (b) Salient features of the schem..."
114,2091,289,113 6. Scheme for Food Safety and Quality Assurance Infrastructure   (I) Setting up/Up -gradation of Quality Control/ Food Testing Laboratories  a) Objectives:   i. To establish a surveillance system for monitoring the quality and composition of food.   ii. To analyse the samples received from processing industry and other stakeholders.   iii. To reduce the time for analysis of samples by reducing transportation time of samples.   iv. To ensure compliance of international and domestic standards ...
115,1967,271,"114 and @ 75% in NE Region and difficult areas of eligible project cost subject to maxi mum of Rs.  17 lakh and 22 lakh respectively.   (c) Implementing Agencies:   Central/State Government Organization, IITs, Universities and private sector in the field of  food processing sector for implementation of HACCP/ ISO Standards / Food safety/ Quality  Safety Management Systems   7. Scheme for Human Resources and Institutions   (I) Research & Development in Food Processing Sector   (a) Objectives:   T..."
116,2221,321,"115 a) Objectives of the scheme: The objectives of the scheme are as follows:   (i) To organize, co-sponsor, participate in all India level seminars, workshops, fairs and  exhibitions for food processing sector to encourage investment in food processing and to  create awareness of plan schemes being implemented by the ministry.   (ii) To commission studies/ surveys to assess, evaluate various aspects of food processing  sectors and allied activities.  (iii) To create awareness about schemes of t..."
117,2268,338,"116 (iii) Activities under the advertisements and publicity will be implemented by the Ministry  through selection of agency, after following due procedure or through its Institutes.   (III) Skill Development   a) Objectives of the scheme: The objectives of the scheme are as follows:   (i) to provide sector specific skilled workforce from floor level workers, operators, packaging  and assembly line workers to quality control supervisor etc in the various sectors of food  processing industries.  ..."
118,2209,315,"117 (ii) The scheme for creation of infrastructure facilities for skill training centres will be  implemented through food technology institutions under the UGC approved universities/ State  universities and also NSDC recognized State owned skill training centres.   (IV) Strengthening of Institutions   (a) National Institute of Food Technology, Entrepreneurship and Management  (NIFTEM):  The Ministry has established the NIFTEM at Kundli, District Sonepat, Haryana in May, 2012.  NIFTEM has been d..."
119,2297,335,118 Ministry of Health and Family Welfare     11.1 Name of Scheme: National Iodine Deficiency Disorders Control Programme  (NIDDCP)  The Salt iodisation programme in India dates back to late 50‟s when the classical study of  Professor V. Ramalingaswamy and his associates in Kangra Valley of Himachal Pradesh  established Iodine Deficiency as the causative factor for endemic goiter and consuming salt  iodised with potassium iodate as the most economic and easiest means of its prevention and  contr...
120,2211,340,"119 • Resurvey after every 5 years to assess the extent of Iodine Deficiency Disorders and the  impact of iodated salt.   • Laboratory monitoring of iodated salt and urinary iodine excretion.   • Health education and Publicity.   Salient features:   It has been established that consumption of iodated salt is the best and simplest way to prevent  and control IDD. Based on the recommendations of the Central Council of Health in 1984, the  Government took a policy decision to iodate the entire edib..."
121,2156,315,"120 10. Managing the financial and other physical aspects of State level 100 Cells.   The Salt Commissioner's Office under the Ministry of Industry is responsible for licensing,  production and distribution of iodated salt to States/UTs. This office is also responsible for  monitoring the quality of iodated salt at production level and the distribution of the same in the  country. The Salt Commissioner, in consultation with the Ministry of Railways, arranges for  movement of iodated salt from th..."
122,1579,230,121 State Mental Hospitals and Up -gradation of Psychiatric Wings of Medical Colleges/General  Hospitals. The Manpower development scheme (Scheme -A & B) became part of the Program in  2009.   Type of scheme: Central Sector Scheme  Year of Commencement: 1982  Objectives of the scheme:  • To ensure the availability and accessibility of minimum mental healthcare for all in the  foreseeable future;  • To encourage the application of mental health knowledge in general healthcare and in  social devel...
123,2476,356,"122 • Linkages with Self -help groups, family and caregiver groups & NGOs working in the field of  mental health  • Sensitization of enforcement officials regarding legal provisions for effective implementation of  Mental Health Act   b. As of now, 241 districts have been covered under the scheme & it is proposed to expand DMHP  to all districts in a phased manner (Annexure -II). Details provided in link below.   c. Manpower (on contractual basis): Psychiatrist, Clinical Psychologist, Psychiatri..."
124,1610,229,"123 • Chronically mentally ill individuals, who have achieved stability with respect to their symptoms  & have not been able to return to their families and are currently residents of the mental  hospitals, will be shifted to these centres.  • Residential patients in these centres will go through a structured program which will be executed  with the help of multidisciplinary team consisting of psychologists, social workers, nurses,  occupational therapists, vocational trainers and support staff...."
125,2452,356,"124 • A country wide 24 hours dedicated help -line to provide information to public on mental health  resources, emergency situation and crisis management, information pertaining to destitute  mentally ill patients, registration of complaints on Human Rights Violation of mentally ill and  assistance on medico -legal issues.   • Linked with district hospitals, medical college/hospitals, mental hospitals, private mental health  facilities, NGOs and all other mental health service providers of the ..."
126,2194,348,"125 • Support involves physical work for establishing departments in Neurology &  Neurosurgery, equipments & tools and for engaging required faculty.   3. Support to Central and State Mental Health Authorities:   • Central Mental Health Authority (CMHA) & State Mental Health Authority (SMHA) are  meant for regulation & co-ordination of mental health services under the central & state  governments respectively.  • Support to be provided for purchase of infrastructure (non -recurring) and Office a..."
127,1798,266,126 8. Mental Health Information System:   • An online data monitoring system and will also facilitate bilateral communication  between participating units.  • is expected to bring significant improvement in the implementation as there shall be  possibility of mid course correction based on the feedback.   9. Training/Workshops:   • Trainings will be provided to master trainers from each state/UT who shall further train  DMHP team and other staff working in the field of mental health.  • Trainin...
128,3094,448,127 b. Strengthen Disability Prevention & Medical Rehabilitation of persons affected by  leprosy.  c. Reduction in the level of stigma associated with leprosy.   Salient features :   • Diagnosis and treatment of leprosy - Services for diagnosis and treatment (Multi drug therapy)  are provided by all primary health centres and govt. dispensaries throughout the country free of  cost. Difficult to diagnose and complicated cases and cases requiring reconstructive surgery are  referred to district ho...
129,2252,351,"128 • Supervision and Monitoring –Programme is being monitored at different level through analysis  of monthly progress reports, through field visits by the supervisory officers and programme  review meetings held at central, state and district level. For better epidemiological analysis of the  disease situation, emphasis is given to assessment of New Case Detection and Treatment  Completion Rate and proportion of grade II disability among new cases. Visit by Joint  monitoring Teams with members..."
130,1698,303,129 BCG   • About -BCG stands for Bacillus Calmette -Guerin vaccine. It is given to infants to protect  them from tubercular meningitis and disseminated TB.   • When to give – BCG vaccine is given at birth or as early as possible till 1year of   • Route and site- BCG is given as intradermal injection in left upper arm.   OPV   • About -OPV stands for Oral Polio Vaccine. It protects children from poliomylitis.   • When to give - OPV is given at birth called zero dose and three doses are given at ...
131,1815,322,130 • Route and site-5 drops of vaccine are given orally.   PCV   • About - PCV stands for Pneumococcal Conjugate Vaccine. It protects infants and young  children against disease caused by the bacterium Streptococcus pneumoniae. It is given in select  states.   • When to give - The vaccine is given as two primary doses at 6 & 14 weeks of age  followed by a booster dose at 9 months of age   • Route and site - PCV is given as intramuscular (IM) injection in outer right upper thigh.  It should be n...
132,1591,278,"131 DPT booster   • About -DPT is a combined vaccine; it protects children from Diphtheria, Tetanus and  Pertussis.   • When to give -DPT vaccine is given at 16 -24 months of age is called as DPT first  booster and DPT 2nd booster is given at 5-6 years of age.  • Route and site - DPT first booster is given as intramuscular injection in antero -lateral  side of mid thigh in left leg. DPT second booster is given as intramuscular injection in left upper  arm.   TT   • About - Tetanus toxoid vaccine..."
133,1528,228,"132 DPT (Diphtheria,  Pertussis and  Tetanus Toxoid) –  Liquid vaccine Diphtheria,  Pertussis and  Tetanus Intra -  muscular 5 Three doses at 6, 10  & 14 week and two  booster dose at 16-  24 month and 5-6  years of age   Measles -  Lyophilized vaccine Measles Sub-  cutaneous 2 9-12 months of age  and 2nd dose at 16 -  24 months.   TT (Tetanus Toxoid)  – Liquid vaccine Tetanus Intra -  muscular 2  2 10 years and 16  years of Age.  For pregnant  woman, two doses  given(one dose if  previously  va..."
134,2214,334,133 borne diseases namely: 1. Malaria 2. Dengue 3. Chikungunya 4. Japanese Encephalitis 5. Kala -  Azar 6. Filaria (Lymphatic Filariasis).  Type of scheme: Central Sector Scheme  Year of Commencement: 2003 -04  Structure of Scheme:  1) National Anti - Malaria Programme  Malaria is one of the serious public health problems in India. At the time of independence  malaria was contributing 75 million cases with 0.8 million deaths every year prior to the  launching of National Malaria Control Programm...
135,2333,354,"134 activities were mainly confined to urban areas. However, the programme has been extended to  rural areas since 1994.  Objectives:   • Reduction of the problem in un-surveyed areas  • Control in urban areas through recurrent anti-larval and anti -parasitic measures.   4) Japanese Encephalitis Control Programme  Japanese encephalitis (JE) is a zoonotic disease and caused by an arbovirus, group B (Flavivirus)  and transmitted by Culex mosquitoes. This disease has been reported from 26 states an..."
136,1482,210,"135 • Early diagnosis and prompt case management  • Vector control through community participation and social mobilization  • Capacity building   Area of Operation : All States and Union Territories   For detail Information visit: www.nvbdcp.gov.in      11.6 Name of Scheme: Integrated Disease Surveillance Programme (IDSP)   Integrated Disease Surveillance Project (IDSP) is a decentralized, state based surveillance  programme in the country. It is intended to detect early warning signals of impen..."
137,1437,214,"136 Types of surveillance under IDSP:  ▪ Syndromic diagnosis – by health worker / community workers – based on identification of a  collection of symptoms  ▪ Presumptive diagnosis – by medical office based on history and clinical examination  ▪ Confirmed diagnosis – history and clinical examination by medical officer with laboratory  testing  Clinical syndromes under surveillance:  ▪ Fever – Malaria, Typhoid, Dengue, Japanese Encephalitis, Measles  ▪ lasting for less than 7 days without localisi..."
138,1446,200,137 ▪ Water quality monitoring  ▪ Outdoor air quality monitoring (large cities)  ▪ Regular periodic surveys – for non communicable disease (NCD) risk factors  ▪ Anthropometry  ▪ Physical activity  ▪ Tobacco  ▪ Nutrition  ▪ Blood pressure  ▪ Additional state priorities – Each state may include up to 5 additional diseases based on  local needs  Area of Operation : All States and Union Territories   For detail Information visit:  http://www.idsp.nic.in/index1.php?lang=1&level=1&sublinkid=5768&lid=3...
139,2142,341,"138 Structure of Scheme:   The Yojana has identified ASHA, the accredited social health activist as an effective link  between the Government and the poor pregnant women in l0 low performing states, namely the 8  EAG states and Assam and J&K and the remaining NE States. In other eligible states and UTs,  wherever, AWW and TBAs or ASHA like activist has been engaged in this purpose, she can be  associated with this Yojana for providing the services.   Role of ASHA or other link health worker asso..."
140,1855,280,"139 mother and number of children for giving birth in a government or accredited private health  facility.   Eligibility for Cash Assistance:  LPS States All pregnant women delivering in Government health centres like Sub-  centre, PHC/CHC/ FRU / general wards of District and state Hospitals or  accredited private institutions  HPS States BPL pregnant women, aged 19 years and above  LPS & HPS All SC and ST women delivering in a government health centre like Sub-  centre, PHC/CHC/ FRU / general w..."
141,1878,282,"140 of National Program for Prevention and Control of Deafness (from 2006 to 2008) in 10 States  and 1 Union Territory in an effort to tackle the high incidence of deafness in the country , in  view of the preventable nature of this disability.   Type of scheme: Central Sector Scheme  Year of Commencement: 2006  Objectives of the scheme:  1. To prevent avoidable hearing loss on account of disease or injury.   2. Early identification, diagnosis and treatment of ear problems responsible for hearin..."
142,1713,240,"141 EXPECTED BENEFITS OF THE PROGRAMME:   The Programme is expected to generate the following benefits :-   i. Availability of various services like prevention, early identification, treatment, referral,  rehabilitation etc. for hearing impairment and deafness as the primary health center / community  health centers / district hospitals largely cater to their need.   ii. Decrease in the magnitude of hearing impaired persons.   iii. Decrease in the severity/ extent of ear morbidity or hearing imp..."
