source_type,source_name,saved_text_file,pages,total_chars,total_words
pdf,Farming Schemes.pdf,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,314,638828,94954
pdf,farmerbook.pdf,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/farmerbook_pdf.txt,154,278092,43759
